old_id	new_id	new_id.scientific_name
NCBI:txid1003731	NCBI:txid624848	Gerres longirostris
NCBI:txid1003733	NCBI:txid205127	Glossogobius giuris
NCBI:txid1003747	NCBI:txid912805	Johnius amblycephalus
NCBI:txid1003769	NCBI:txid1003770	Pagellus natalensis
NCBI:txid1003858	NCBI:txid510951	Neurospora tetrasperma FGSC 2508
NCBI:txid100386	NCBI:txid99840	Spermophilus erythrogenys
NCBI:txid100387	NCBI:txid99856	Spermophilus relictus
NCBI:txid1004019	NCBI:txid547958	Comamonas sp. EB172
NCBI:txid1004058	NCBI:txid73649	Ceanothus cuneatus var. cuneatus
NCBI:txid1004081	NCBI:txid73714	Ceanothus verrucosus
NCBI:txid100411	NCBI:txid1658481	Manaosia
NCBI:txid1004206	NCBI:txid889165	Microthurge sp. JS-2010
NCBI:txid1004270	NCBI:txid1004279	Mesorhizobium muleiense
NCBI:txid1004275	NCBI:txid1004279	Mesorhizobium muleiense
NCBI:txid1004335	NCBI:txid1159294	Rhachotropis sp. A ANL-2012
NCBI:txid1004450	NCBI:txid150568	Ophiostoma minus
NCBI:txid1004459	NCBI:txid177193	Symbiotaphrina microtheca
NCBI:txid100455	NCBI:txid1747747	Xerocrassa geyeri
NCBI:txid1004588	NCBI:txid1004583	Neoscardovia arbecensis
NCBI:txid100459	NCBI:txid460200	Emberiza calandra
NCBI:txid100470	NCBI:txid100469	Schaalia canis
NCBI:txid100471	NCBI:txid103621	Actinomyces urogenitalis
NCBI:txid100472	NCBI:txid103621	Actinomyces urogenitalis
NCBI:txid1004722	NCBI:txid941433	Amanita pruittii
NCBI:txid1004765	NCBI:txid420324	Microvirga lupini
NCBI:txid1004789	NCBI:txid929999	Fabriciana coreana
NCBI:txid1004890	NCBI:txid101473	Wollastonia biflora
NCBI:txid100490	NCBI:txid72228	Ophiocordyceps sinensis
NCBI:txid1004925	NCBI:txid945052	Streptomyces heilongjiangensis
NCBI:txid1004959	NCBI:txid472213	Heterochone sp. SMF 10523
NCBI:txid10050	NCBI:txid1047088	Arvicola amphibius
NCBI:txid1005010	NCBI:txid1301518	Pachypeltis intrudens
NCBI:txid1005054	NCBI:txid930113	Cortinarius xanthodryophilus
NCBI:txid1005083	NCBI:txid88207	Metacarcinus novaezelandiae
NCBI:txid100523	NCBI:txid119366	Peliosanthes campanulata
NCBI:txid1005384	NCBI:txid256635	Schefflera leucantha
NCBI:txid1005525	NCBI:txid1286877	Escherichia coli O157:H7 str. TW14313
NCBI:txid1005664	NCBI:txid1005665	Kosakonia oryzendophytica
NCBI:txid1005666	NCBI:txid1005667	Kosakonia oryziphila
NCBI:txid1005668	NCBI:txid1005667	Kosakonia oryziphila
NCBI:txid1005669	NCBI:txid1005665	Kosakonia oryzendophytica
NCBI:txid1005688	NCBI:txid691780	Odontites aucheri
NCBI:txid1005699	NCBI:txid35729	Trematomus
NCBI:txid1005701	NCBI:txid581055	Pseudohynobius puxiongensis
NCBI:txid100571	NCBI:txid2213075	Ficus ruginervia
NCBI:txid1005723	NCBI:txid128142	Phormidesmis molle
NCBI:txid1005942	NCBI:txid35729	Trematomus
NCBI:txid1005957	NCBI:txid8425	Sooglossus thomasseti
NCBI:txid100596	NCBI:txid1163369	Schistosoma turkestanicum
NCBI:txid1005998	NCBI:txid745277	Rahnella aquatilis CIP 78.65 = ATCC 33071
NCBI:txid1006016	NCBI:txid1035702	HIV-1 M:CRF02_AG_PT4773
NCBI:txid1006018	NCBI:txid1070833	HIV-1 M:G_PT7139
NCBI:txid1006019	NCBI:txid1070690	HIV-1 M:G_PT1631
NCBI:txid1006020	NCBI:txid1070697	HIV-1 M:G_PT227
NCBI:txid1006021	NCBI:txid1071023	HIV-1 M:G_PT98
NCBI:txid1006022	NCBI:txid1070531	HIV-1 M:B_PT3013
NCBI:txid1006024	NCBI:txid1070530	HIV-1 M:B_PT2
NCBI:txid1006025	NCBI:txid1070830	HIV-1 M:G_PT5236
NCBI:txid1006026	NCBI:txid1070676	HIV-1 M:B_PT423
NCBI:txid1006027	NCBI:txid1070827	HIV-1 M:CRF02_AG_PT727
NCBI:txid1006029	NCBI:txid1070529	HIV-1 M:B_PT24
NCBI:txid1006030	NCBI:txid1035687	HIV-1 M:CRF02_AG_PT988
NCBI:txid1006031	NCBI:txid1070689	HIV-1 M:G_PT1544
NCBI:txid1006032	NCBI:txid1070810	HIV-1 M:G_PT3
NCBI:txid1006034	NCBI:txid1069547	HIV-1 M:B_PT1147
NCBI:txid1006035	NCBI:txid1071029	HIV-1 M:G_PT9000
NCBI:txid1006036	NCBI:txid1071031	HIV-1 M:G_PT919
NCBI:txid1006037	NCBI:txid1070801	HIV-1 M:G_PT13
NCBI:txid1006038	NCBI:txid1071027	HIV-1 M:G_PT85
NCBI:txid1006039	NCBI:txid1070826	HIV-1 M:CRF02_AG_PT4132
NCBI:txid1006040	NCBI:txid1035696	HIV-1 M:B_PT893
